SNRs,Red-Green,Blue-Green,Red-Blue
-20,-15.568527713689333,-2.71747313584969e-05,-38.23019153262364
-18,-14.970383485270501,-0.0004338318541880795,-39.005830076754485
-16,-16.789751197355066,-4.401887797814787e-06,-38.30723511874869
-14,-16.268687618051118,-3.642706045651458e-05,-37.9588965020977
-12,-14.859758663644547,-0.0006504182385864915,-38.012485299273344
-10,-15.184222077670752,-0.0018309597460123336,-38.318953831783865
-8,-16.4086608371914,-0.004160022086318169,-37.99005721694362
-6,-13.65352921434679,-0.008440995058941204,-37.46773367628546
-4,-11.038899378534804,-0.006658039915965013,-36.36560590510919
-2,-7.562664624565715,-0.0037348293486957683,-34.60635829858298
0,-5.076923636144059,-0.017406631432323107,-33.1764873018151
2,-3.8915180662170292,-0.019208636631896134,-34.67888002900082
4,-3.1005534173528306,-0.01260805305493627,-32.952736022806704
6,-2.5005333576341244,-0.018412993254283104,-32.17564420450965
8,-2.409891529617793,-0.02176041266696175,-29.34081411406769
10,-2.3016297383811044,-0.032066356678420116,-28.988497956025757
12,-2.389935558594945,-0.04560199155471666,-27.262997787299298
14,-2.120677740758547,-0.03462983035121655,-28.796624588900567
16,-2.226317177829475,-0.03210545930322565,-26.92024800100912
18,-2.151943759113257,-0.03450478598761189,-26.780895506757382
